"RecordID","AQI","PM10","PM2.5","NO2","SO2","O3","Temperature","Humidity","WindSpeed","DiseaseRate","CardiovascularCases","HospitalAdmissions","HealthImpactScore","HealthImpactClass","PM2.5_Deviation","PM10_Deviation"
3,365.996970905703,84.4431907352758,23.1113397672678,96.3178110215756,17.8758503471064,9.00679360340617,1.16948341682142,17.8069772213153,11.1573835870956,13,3,0,100,0,18.1113397672678,69.4431907352758
6,77.9972601681013,36.1134448516601,97.1132404566858,87.7695619422728,32.2612061441418,136.999714123002,-1.44178126208469,32.635903533309,4.67512701794415,13,5,2,70.3614912528752,1,92.1132404566858,21.1134448516601
7,29.0418060840997,174.230575084326,68.5784182697959,186.815369854297,96.7664198146421,44.9823966827504,34.378592249388,24.6793050482356,6.61004700539202,10,2,2,65.8199486693196,1,63.5784182697959,159.230575084326
8,433.088072887468,278.629026361648,83.6737820264014,106.947943082702,9.70774904736574,131.566014446494,33.7074343968897,40.3731566180871,17.3766436600075,11,8,1,100,0,78.6737820264014,263.629026361648
10,354.036288898023,252.883644736859,182.150362547629,179.297054528499,44.5212122065859,117.957437359189,9.53724711288964,64.0992023694311,14.2538781070512,13,5,1,100,0,177.150362547629,237.883644736859
13,416.221320400211,219.56182118595,63.929605517525,21.463732094803,25.1940212409113,281.090685130158,3.80240398856496,80.059880196399,7.16835590864876,11,2,2,100,0,58.929605517525,204.56182118595
15,90.9124836035503,108.364817692744,122.742436370846,102.516793386847,13.5807105569192,252.867802184069,33.6992810074418,11.7851522168994,5.75122178001452,10,3,2,96.9036840700733,0,117.742436370846,93.3648176927435
16,91.7022549267169,191.190646961407,124.725189459453,64.2358517934928,65.9114741899762,228.218564116674,39.317909019463,67.4719138104125,2.42780494078484,13,3,2,100,0,119.725189459453,176.190646961407
17,152.121121479769,21.2089824553099,96.3399676024682,84.634567905351,97.7811489138195,198.349892780333,30.8336831165901,88.5983705982431,8.40787125991596,13,11,1,98.2506540053894,0,91.3399676024682,6.20898245530985
20,145.614570099021,298.867347913392,164.224725223545,108.162414159615,18.0636550947533,184.040280165625,28.4954149589936,25.1875183800769,14.5001287620631,12,5,3,100,0,159.224725223545,283.867347913392
21,305.92644736119,142.360068786732,86.996039577609,19.7742310107302,74.5036534101592,106.787235900749,37.3516656096195,91.5856812372625,19.2149006552895,10,7,3,100,0,81.996039577609,127.360068786732
23,146.072324267609,129.620185519985,53.9123386504919,105.50518473492,23.984174848089,133.387879083623,-2.26933779900831,50.0241602265492,5.6258140835099,14,0,2,92.4868748724133,0,48.9123386504919,114.620185519985
26,392.587980696507,265.978632450719,80.5945600246788,12.981339242934,87.3184092000632,112.231467336625,6.67342698924039,93.9564820691835,2.33657044152609,18,4,0,100,0,75.5945600246788,250.978632450719
32,85.2620618436458,28.0678220737007,34.9993657501168,92.9447512500075,7.27112143445917,269.736848942516,11.5582360694456,35.0484994370615,4.4268090393264,11,1,2,71.2177377460239,1,29.9993657501168,13.0678220737007
35,482.81601653728,70.9424736716084,190.056810034097,3.82527012474607,59.1680419532002,139.392093150102,38.8287515943581,38.1738035880807,9.01619151406878,12,3,2,100,0,185.056810034097,55.9424736716084
36,404.198674058231,63.4520247845304,199.750006878263,197.103871380573,54.0594653961749,254.133967047276,23.5101590778201,19.3476634030851,18.7145698781454,13,6,1,100,0,194.750006878263,48.4520247845304
38,48.8360570031919,96.0048339262175,59.7606128166549,155.715437386653,33.2236595246859,127.743092889976,35.9670572378991,32.0349104315388,13.6338614708792,13,2,4,63.7304131253687,1,54.7606128166549,81.0048339262175
39,342.116513256078,151.813407723551,171.671211031819,65.1292984374906,96.5885012943342,279.586214506055,39.7602416949173,23.3555281981857,0.235119294552004,11,2,1,100,0,166.671211031819,136.813407723551
40,220.076246869801,48.7533195892369,199.722285407491,95.0033513986838,24.0625226729386,48.4377284573264,-0.108965536894337,30.400002506506,17.3014298275957,13,8,3,100,0,194.722285407491,33.7533195892369
41,61.0191174223894,287.923716438591,125.928246846491,77.6927285221993,90.1645423255088,47.0556875689111,30.5266571607364,32.5983841357627,15.8660095482062,12,13,2,86.9471916298135,0,120.928246846491,272.923716438591
44,454.660201039391,122.032124571602,71.0679416439094,72.0041875709007,46.7312378155068,55.7723506061862,-4.99072978337649,16.7941252919764,1.069569201038,13,3,3,100,0,66.0679416439094,107.032124571602
45,129.389990800008,228.708364112152,114.854076051417,177.897998079906,94.8548717360876,146.397111172669,21.1685489233582,58.2425724606275,1.01712847457354,12,3,4,100,0,109.854076051417,213.708364112152
46,331.261142176991,43.162846616934,166.611388252843,138.078667718737,41.8565598137359,234.963346613715,13.4259081702538,80.8972706429888,13.3718902692336,11,5,2,100,0,161.611388252843,28.162846616934
50,92.4272277627635,136.618471574382,28.8951393189211,140.006808192971,84.3852058201974,260.083804310364,4.70145613036866,83.9037103082298,6.97770320064367,16,6,5,90.8134069248443,0,23.8951393189211,121.618471574382
51,484.792313882279,155.404604672556,46.5944424156078,29.7368784713393,92.0688441169695,153.009062640976,31.8479578621834,55.51234029076,7.60137103624871,14,6,1,100,0,41.5944424156078,140.404604672556
55,298.949989405543,132.808110590231,61.9138704476463,105.228551937829,25.322330751339,22.0744461416324,4.17539533532384,39.2099512816227,9.04266316679795,11,4,3,100,0,56.9138704476463,117.808110590231
56,460.937117511558,219.665761893667,123.376814393279,170.101320875639,27.8712103746946,105.049907057309,16.4015152447587,66.8660055978228,18.8608022898299,10,5,1,100,0,118.376814393279,204.665761893667
59,22.613644455269,176.529372136036,32.8482134446309,1.59083625570813,32.1122033058139,44.515609049892,7.71198620732677,75.2131646389824,12.5718985488601,11,9,4,36.2087336971518,3,27.8482134446309,161.529372136036
